"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"398","2022-04-08","12:25:30","4h:53m","HC1DAZ","-17","FT8","20m","14.0751","Ecuador","HC","FI09SV","16391"
"403","2022-04-08","12:12:29","5h:06m","LU5VV","-16","FT8","20m","14.0750","Argentina","LU","FE48HU44TT","15893"
"353","2022-04-08","14:25:29","2h:53m","W6GX","-19","FT8","20m","14.0751","United States","K","DN70JI53HG","13483"
"279","2022-04-08","16:31:42","47min","KK9V","-24","FT8","-","0.0000","United States","K","EM69VJ","13268"
"359","2022-04-08","14:19:28","2h:59m","AH6FX","-19","FT8","20m","14.0751","Hawaii","KH6","BK29IK","13197"
"296","2022-04-08","16:28:27","50min","KI8JP","-19","FT8","20m","14.0751","United States","K","EM79XM07","13183"
"250","2022-04-08","16:43:28","35min","N2BJ","-21","FT8","20m","14.0751","United States","K","EN61AM22","13098"
"215","2022-04-08","16:49:27","29min","VA3AQB","-20","FT8","20m","14.0751","Canada","VE","FN04EI","12540"
"184","2022-04-08","16:52:27","26min","KJ7TEA","-19","FT8","20m","14.0751","United States","K","DN18UO","12496"
"321","2022-04-08","16:16:29","1h:02m","NK7I","-21","FT8","20m","14.0751","United States","K","DN18TO","12495"
"63","2022-04-08","17:08:29","10min","N7BT","-17","FT8","20m","14.0751","United States","K","CN88RT72SW","12365"
"66","2022-04-08","17:08:27","10min","KE1VT","-23","FT8","20m","14.0751","United States","K","FN34KA02","12310"
"15","2022-04-08","17:15:29","3min","VE3BOE","-9","FT8","20m","14.0751","Canada","VE","FN25GG","12291"
"164","2022-04-08","16:59:27","19min","VE2BTZ","-19","FT8","20m","14.0751","Canada","VE","FN35FI","12204"
"417","2022-04-08","10:55:31","6h:23m","3D2USU","-23","FT8","20m","14.0751","Fiji","3D2","RH82RH","12011"
"416","2022-04-08","10:56:27","6h:22m","VK2CHS","-13","FT8","20m","14.0750","Australia","VK","QF56QN","10035"
"94","2022-04-08","17:03:47","15min","VK2HFF","-19","FT8","20m","14.0751","Australia","VK","QF55IX","10003"
"6","2022-04-08","17:16:29","2min","VK2BY","-18","FT8","20m","14.0751","Australia","VK","QF56IF","9992"
"212","2022-04-08","16:49:30","29min","VK4SC","-14","FT8","20m","14.0751","Australia","VK","QG62OF","9964"
"412","2022-04-08","11:21:27","5h:57m","VK4ZP","-18","FT8","20m","14.0750","Australia","VK","QG62LM78","9930"
"374","2022-04-08","13:52:29","3h:26m","VK3ABC","-17","FT8","20m","14.0751","Australia","VK","QF21RW53","9757"
"421","2022-04-08","10:45:29","6h:33m","VK3BU","-19","FT8","20m","14.0751","Australia","VK","QF22LF","9703"
"401","2022-04-08","12:19:29","4h:59m","VK3IK","-13","FT8","20m","14.0750","Australia","VK","QF22LO","9685"
"414","2022-04-08","11:11:31","6h:07m","VK5PW","-10","FT8","20m","14.0750","Australia","VK","PF95NJ","9075"
"347","2022-04-08","15:18:27","2h:00m","VK5GR","-9","FT8","20m","14.0751","Australia","VK","PF95ID","9056"
"60","2022-04-08","17:08:30","10min","VK5ARG","-9","FT8","20m","14.0751","Australia","VK","PF95IT","9019"
"75","2022-04-08","17:05:30","13min","EA8BFK","-17","FT8","20m","14.0750","Canary Islands","EA8","IL38BO","8841"
"62","2022-04-08","17:08:30","10min","CT1BOH","-10","FT8","20m","14.0751","Portugal","CT","IM58JS82","8163"
"150","2022-04-08","17:00:27","18min","MW7TLS","-17","FT8","20m","14.0751","Wales","GW","IO82","7991"
"130","2022-04-08","17:00:30","18min","EA1ECF","-24","FT8","20m","14.0751","Spain","EA","IN63FA","7946"
"80","2022-04-08","17:05:29","13min","GI8GZM","-6","FT8","20m","14.0751","Northern Ireland","GI","IO64UK","7726"
"111","2022-04-08","17:02:30","16min","MM7CMB","-16","FT8","20m","14.0751","Scotland","GM","IO68QI","7726"
"35","2022-04-08","17:13:31","5min","EA4HNN","-16","FT8","20m","14.0751","Spain","EA","IN80EN","7660"
"304","2022-04-08","16:27:27","51min","MWØZZK","-22","FT8","20m","14.0750","Wales","GW","IO72RU","7619"
"42","2022-04-08","17:12:29","6min","EA2BHE","-14","FT8","20m","14.0751","Spain","EA","IN83LI","7579"
"128","2022-04-08","17:00:31","18min","2EØCVN","-17","FT8","-","0.0000","England","G","IO80EM","7568"
"260","2022-04-08","16:40:27","38min","MM3NDH","-18","FT8","20m","14.0751","Scotland","GM","IO85IW","7530"
"148","2022-04-08","17:00:27","18min","MØJII","-15","FT8","20m","14.0751","England","G","IO81MD","7518"
"386","2022-04-08","13:19:29","3h:59m","RWØIM","-15","FT8","20m","14.0752","Russia-AS","UA9","QO59JN","7510"
"290","2022-04-08","16:28:30","50min","GU5WZY","-24","FT8","20m","14.0751","Guernsey","GU","IN89RK","7496"
"127","2022-04-08","17:01:27","17min","G3UHU","-22","FT8","20m","14.0750","England","G","IO80SO","7485"
"92","2022-04-08","17:04:27","14min","MØXJA","-24","FT8","20m","14.0751","England","G","IO82SQ","7480"
"99","2022-04-08","17:03:30","15min","GØKTN","-22","FT8","20m","14.0751","England","G","IO81TI","7477"
"70","2022-04-08","17:07:32","11min","M1BZN","-14","FT8","20m","14.0751","England","G","IO82TC","7475"
"126","2022-04-08","17:01:27","17min","MØJFG","-20","FT8","-","0.0000","England","G","IO82UC","7470"
"2","2022-04-08","17:18:27","0min","LEE","-19","FT8","20m","14.0751","unknown","-","IO83WM","7456"
"161","2022-04-08","16:59:27","19min","G7KUJ","-22","FT8","20m","14.0751","England","G","IO83WT","7456"
"9","2022-04-08","17:15:31","3min","M7NED","-24","FT8","20m","14.0751","England","G","IO80XS","7455"
"138","2022-04-08","17:00:29","18min","G6VMR","-15","FT8","20m","14.0751","England","G","IO92CM","7435"
